date,portfolio_value,cash,n_holdings
2026-03-30,10000.0,10000.0,0
2026-03-31,9991.16,5569.33,3
2026-04-01,10248.92,5569.33,3
2026-04-02,10236.77,10236.77,0
2026-04-03,10236.77,10236.77,0
2026-04-06,10236.77,10236.77,0
2026-04-07,10226.63,5154.12,3
2026-04-08,10533.98,5154.12,3
2026-04-09,10493.92,10493.92,0
2026-04-10,10493.92,10493.92,0
2026-04-13,10493.92,10493.92,0
2026-04-14,10479.38,3210.75,4
2026-04-15,10594.96,3210.75,4
2026-04-16,10702.16,10702.16,0
2026-04-17,10702.16,10702.16,0
2026-04-20,10702.16,10702.16,0
2026-04-21,10689.89,4557.6,3
2026-04-22,10775.33,4557.6,3
2026-04-23,10750.65,10750.65,0
2026-04-24,10750.65,10750.65,0
2026-04-27,10750.65,10750.65,0
2026-04-28,10750.65,10750.65,0
2026-04-29,10750.65,10750.65,0
2026-04-30,10750.65,10750.65,0
2026-05-01,10750.65,10750.65,0
2026-05-04,10750.65,10750.65,0
2026-05-05,10743.55,7190.65,2
2026-05-06,10808.79,7190.65,2
2026-05-07,10821.64,10821.64,0
2026-05-08,10821.64,10821.64,0
2026-05-11,10821.64,10821.64,0
2026-05-12,10819.45,9728.3,1
2026-05-13,10801.45,9728.3,1
2026-05-14,10879.15,10879.15,0
2026-05-15,10879.15,10879.15,0
2026-05-18,10879.15,10879.15,0
2026-05-19,10866.82,4702.13,3
2026-05-20,10816.97,4702.13,3
2026-05-21,10857.5,10857.5,0
2026-05-22,10857.5,10857.5,0
2026-05-25,10857.5,10857.5,0
2026-05-26,10855.2,9705.2,1
2026-05-27,10801.4,9705.2,1
2026-05-28,10799.21,10799.21,0
2026-05-29,10799.21,10799.21,0
2026-06-01,10799.21,10799.21,0
2026-06-02,10799.21,10799.21,0
2026-06-03,10799.21,10799.21,0
2026-06-04,10799.21,10799.21,0
2026-06-05,10799.21,10799.21,0
2026-06-08,10799.21,10799.21,0
2026-06-09,10797.68,10029.88,1
2026-06-10,10782.18,10029.88,1
2026-06-11,10769.59,10769.59,0
2026-06-12,10769.59,10769.59,0
2026-06-15,10769.59,10769.59,0
2026-06-16,10766.13,9036.82,2
2026-06-17,10770.41,9036.82,2
2026-06-18,10766.64,10766.64,0
2026-06-19,10766.64,10766.64,0
2026-06-22,10766.64,10766.64,0
2026-06-23,10754.21,4539.61,4
2026-06-24,10810.36,4539.61,4
2026-06-25,10720.37,10720.37,0
2026-06-26,10720.37,10720.37,0
2026-06-29,10720.37,10720.37,0
2026-06-30,10716.33,8693.05,2
2026-07-01,10733.77,8693.05,2
2026-07-02,10703.41,10703.41,0
2026-07-03,10703.41,10703.41,0
2026-07-06,10703.41,10703.41,0
2026-07-07,10703.41,10703.41,0
2026-07-08,10703.41,10703.41,0
2026-07-09,10703.41,10703.41,0
2026-07-10,10703.41,10703.41,0
2026-07-13,10703.41,10703.41,0
2026-07-14,10703.41,10703.41,0
2026-07-15,10703.41,10703.41,0
2026-07-16,10703.41,10703.41,0
2026-07-17,10703.41,10703.41,0
2026-07-20,10703.41,10703.41,0
2026-07-21,10701.97,9981.37,1
2026-07-22,10688.57,9981.37,1
2026-07-23,10672.18,10672.18,0
2026-07-24,10672.18,10672.18,0
2026-07-27,10672.18,10672.18,0
2026-07-28,10672.18,10672.18,0
2026-07-29,10672.18,10672.18,0
2026-07-30,10672.18,10672.18,0
2026-07-31,10672.18,10672.18,0
2026-08-03,10672.18,10672.18,0
2026-08-04,10672.18,10672.18,0
2026-08-05,10672.18,10672.18,0
2026-08-06,10672.18,10672.18,0
2026-08-07,10672.18,10672.18,0
2026-08-10,10672.18,10672.18,0
2026-08-11,10672.18,10672.18,0
2026-08-12,10672.18,10672.18,0
2026-08-13,10672.18,10672.18,0
