date,sym,action,price,qty,amount,score,pnl_inr,pnl_pct
2026-03-31,IRFC.NS,BUY,87.23,17,1485.88,0.9992,,
2026-03-31,BAJAJHFL.NS,BUY,73.09,20,1464.72,0.9983,,
2026-03-31,NTPCGREEN.NS,BUY,92.32,16,1480.07,0.9973,,
2026-04-02,IRFC.NS,SELL,91.84,17,,,75.25,5.28
2026-04-02,BAJAJHFL.NS,SELL,78.0,20,,,95.08,6.72
2026-04-02,NTPCGREEN.NS,SELL,97.22,16,,,75.29,5.31
2026-04-07,IRFC.NS,BUY,92.93,21,1955.43,0.7961,,
2026-04-07,LGEINDIA.NS,BUY,1379.2,1,1381.96,0.7461,,
2026-04-07,HDBFS.NS,BUY,580.59,3,1745.26,0.7241,,
2026-04-09,IRFC.NS,SELL,98.49,21,,,112.62,5.98
2026-04-09,LGEINDIA.NS,SELL,1430.2,1,,,48.14,3.7
2026-04-09,HDBFS.NS,SELL,617.34,3,,,106.53,6.33
2026-04-14,AUBANK.NS,BUY,978.1,2,1960.11,0.7224,,
2026-04-14,COLPAL.NS,BUY,1893.58,1,1897.36,0.6902,,
2026-04-14,TMCV.NS,BUY,425.0,4,1703.41,0.6713,,
2026-04-14,VBL.NS,BUY,429.71,4,1722.29,0.6194,,
2026-04-16,AUBANK.NS,SELL,983.0,2,,,5.86,0.5
2026-04-16,COLPAL.NS,SELL,1954.36,1,,,56.87,3.21
2026-04-16,TMCV.NS,SELL,437.07,4,,,44.76,2.84
2026-04-16,VBL.NS,SELL,459.45,4,,,115.28,6.92
2026-04-21,VBL.NS,BUY,484.1,4,1940.27,0.6423,,
2026-04-21,NTPCGREEN.NS,BUY,111.69,19,2126.35,0.629,,
2026-04-21,AUBANK.NS,BUY,1036.89,2,2077.93,0.4698,,
2026-04-23,VBL.NS,SELL,483.25,4,,,-7.26,-0.18
2026-04-23,NTPCGREEN.NS,SELL,113.79,19,,,35.58,1.88
2026-04-23,AUBANK.NS,SELL,1055.23,2,,,32.44,1.77
2026-05-05,LGEINDIA.NS,BUY,1555.8,1,1558.91,0.5361,,
2026-05-05,HDBFS.NS,BUY,665.7,3,2001.09,0.4718,,
2026-05-07,LGEINDIA.NS,SELL,1542.6,1,,,-16.29,-0.85
2026-05-07,HDBFS.NS,SELL,698.56,3,,,94.38,4.94
2026-05-12,GODREJIND.NS,BUY,1091.15,1,1093.33,0.75,,
2026-05-14,GODREJIND.NS,SELL,1153.15,1,,,59.69,5.68
2026-05-19,ICICIPRULI.NS,BUY,520.34,4,2085.54,0.7479,,
2026-05-19,UNOMINDA.NS,BUY,1050.27,2,2104.75,0.7473,,
2026-05-19,RECLTD.NS,BUY,330.46,6,1986.73,0.742,,
2026-05-21,ICICIPRULI.NS,SELL,508.34,4,,,-52.1,-2.31
2026-05-21,UNOMINDA.NS,SELL,1077.43,2,,,50.01,2.59
2026-05-21,RECLTD.NS,SELL,329.92,6,,,-7.22,-0.16
2026-05-26,ONGC.NS,BUY,287.5,4,1152.3,0.6622,,
2026-05-28,ONGC.NS,SELL,274.05,4,,,-55.99,-4.68
2026-06-09,NATIONALUM.NS,BUY,383.9,2,769.34,0.7026,,
2026-06-11,NATIONALUM.NS,SELL,370.6,2,,,-28.08,-3.46
2026-06-16,OIL.NS,BUY,419.65,2,840.98,0.7216,,
2026-06-16,COALINDIA.NS,BUY,445.01,2,891.79,0.7191,,
2026-06-18,OIL.NS,SELL,420.6,2,,,0.22,0.23
2026-06-18,COALINDIA.NS,SELL,446.04,2,,,0.29,0.23
2026-06-23,BPCL.NS,BUY,308.55,6,1855.0,0.72,,
2026-06-23,AWL.NS,BUY,183.82,10,1841.88,0.7188,,
2026-06-23,ICICIPRULI.NS,BUY,498.6,3,1498.79,0.7097,,
2026-06-23,INFY.NS,BUY,1029.3,1,1031.36,0.7094,,
2026-06-25,BPCL.NS,SELL,309.75,6,,,3.48,0.39
2026-06-25,AWL.NS,SELL,182.03,10,,,-21.54,-0.97
2026-06-25,ICICIPRULI.NS,SELL,491.05,3,,,-25.6,-1.51
2026-06-25,INFY.NS,SELL,1041.2,1,,,9.82,1.16
2026-06-30,HDBFS.NS,BUY,750.8,1,752.3,0.5993,,
2026-06-30,IDEA.NS,BUY,14.46,88,1275.02,0.5932,,
2026-07-02,HDBFS.NS,SELL,740.15,1,,,-12.13,-1.42
2026-07-02,IDEA.NS,SELL,14.48,88,,,-0.79,0.14
2026-07-21,HDBFS.NS,BUY,720.6,1,722.04,0.7058,,
2026-07-23,HDBFS.NS,SELL,692.2,1,,,-29.78,-3.94
