week,stock,buy,sell,qty,pnl,pnl_pct
2024-08-05,bdl,1341.15,1402.65,7,392.09,4.59
2024-08-05,exideind,485.35,496.25,19,169.8,2.25
2024-08-05,axisbank,1133.5,1136.8,8,-9.92,0.29
2024-08-05,supremeind,4970.9,5203.5,1,212.25,4.68
2024-08-05,acc,2380.6,2396.1,3,17.84,0.65
2024-08-12,astral,1937.9,1862.95,4,-330.21,-3.87
2024-08-12,acc,2313.6,2281.95,4,-163.36,-1.37
2024-08-12,thermax,4257.0,4301.1,2,53.97,1.04
2024-08-12,medanta,1081.75,1065.75,8,-162.36,-1.48
2024-08-19,hindzinc,495.7,510.85,19,249.6,3.06
2024-08-19,astral,1882.75,1890.25,5,-0.23,0.4
2024-08-19,apollotyre,483.0,506.25,19,404.16,4.81
2024-08-19,aplapollo,1357.0,1358.7,7,-26.12,0.13
2024-08-19,mfsl,991.5,1047.25,9,465.05,5.62
2024-08-26,cochinship,2057.15,2012.7,4,-210.36,-2.16
2024-08-26,zyduslife,1108.45,1138.3,8,202.85,2.69
2024-08-26,medanta,1058.35,1085.9,9,209.35,2.6
2024-08-26,adanipower,132.26,128.31,73,-326.39,-2.99
2024-08-26,sjvn,133.62,132.31,72,-132.61,-0.98
2024-09-02,cochinship,1851.35,1928.9,5,349.95,4.19
2024-09-02,hindzinc,493.85,485.9,19,-188.28,-1.61
2024-09-02,mazdock,2099.9,2387.4,4,1114.1,13.69
2024-09-02,aiaeng,4320.45,4385.9,2,96.07,1.51
2024-09-02,zyduslife,1111.55,1127.9,8,94.97,1.47
2024-09-09,bhel,262.05,258.75,37,-160.64,-1.26
2024-09-09,siemens,3849.69,3869.91,2,9.57,0.53
2024-09-09,cochinship,1820.55,1803.9,5,-119.49,-0.91
2024-09-09,federalbnk,184.99,183.18,53,-134.96,-0.98
2024-09-09,ongc,298.9,285.3,33,-487.36,-4.55
2024-09-16,hudco,247.25,240.8,39,-289.62,-2.61
2024-09-16,irfc,163.96,158.56,59,-356.66,-3.29
2024-09-16,cochinship,1794.3,1725.7,5,-378.2,-3.82
2024-09-16,adaniensol,980.5,979.9,9,-40.69,-0.06
2024-09-16,ireda,228.39,227.39,42,-80.29,-0.44
2024-09-23,idea,10.82,10.36,884,-444.09,-4.25
2024-09-23,patanjali,580.4,578.12,16,-73.61,-0.39
2024-09-23,concor,887.45,889.3,10,-17.04,0.21
2024-09-23,tcs,4268.5,4274.75,2,-21.67,0.15
2024-09-23,zyduslife,1055.25,1063.45,9,35.66,0.78
2024-10-07,dabur,569.4,565.05,16,-105.9,-0.76
2024-10-07,fact,850.2,885.2,11,346.82,4.12
2024-10-07,lauruslabs,431.3,453.9,21,437.42,5.24
2024-10-07,lichsgfin,607.5,617.2,15,108.76,1.6
2024-10-07,pfc,438.65,470.8,21,636.95,7.33
2024-10-14,dmart,4183.6,4173.8,2,-53.03,-0.23
2024-10-14,mahabank,54.2,54.56,179,25.5,0.66
2024-10-14,unionbank,114.05,111.96,85,-216.07,-1.83
2024-10-14,m_mfin,283.25,290.0,34,190.52,2.38
2024-10-14,godrejcp,1312.6,1361.0,7,301.37,3.69
2024-10-21,dmart,3973.45,4156.1,2,332.78,4.6
2024-10-21,sonacoms,633.55,644.1,15,119.92,1.67
2024-10-21,nestleind,1177.32,1163.57,8,-147.45,-1.17
2024-10-21,hindunilvr,2693.55,2659.3,3,-134.87,-1.27
2024-10-21,tataconsum,1017.05,1014.55,9,-59.07,-0.25
2024-10-28,igl,202.35,210.45,48,349.17,4.0
2024-10-28,adanigreen,1613.15,1634.2,6,87.33,1.3
2024-10-28,havells,1668.4,1662.5,5,-62.81,-0.35
2024-10-28,tataconsum,975.9,1022.7,10,428.03,4.8
2024-10-28,concor,780.75,835.45,12,617.61,7.01
2024-11-04,colpal,2984.6,2973.95,3,-67.7,-0.36
2024-11-04,supremeind,4214.2,4683.95,2,903.91,11.15
2024-11-04,ioc,138.93,144.61,72,368.13,4.09
2024-11-04,icicigi,1870.85,1933.7,5,276.2,3.36
2024-11-04,bajaj-auto,9525.55,10020.5,1,455.86,5.2
2024-11-11,sundarmfin,4278.2,4167.05,2,-256.08,-2.6
2024-11-11,asianpaint,2543.1,2470.5,4,-330.51,-2.85
2024-11-11,bhartiartl,1560.55,1550.45,6,-97.93,-0.65
2024-11-11,aparinds,8734.45,8737.85,1,-31.55,0.04
2024-11-11,aubank,576.05,560.8,18,-315.43,-2.65
2024-11-25,adanigreen,968.8,988.4,10,156.86,2.02
2024-11-25,tiindia,3395.3,3389.15,3,-59.16,-0.18
2024-11-25,adaniensol,625.2,660.8,16,528.45,5.69
2024-11-25,adanipower,89.33,104.61,114,1697.7,17.11
2024-11-25,dmart,3621.05,3661.25,2,51.27,1.11
2024-12-02,hdfclife,640.2,650.25,16,119.51,1.57
2024-12-02,sbilife,1422.05,1452.6,7,173.6,2.15
2024-12-02,igl,171.77,180.12,62,474.06,4.86
2024-12-02,ntpc,358.2,372.75,29,379.55,4.06
2024-12-02,mfsl,1114.65,1169.95,9,456.58,4.96
2024-12-09,asianpaint,2391.85,2417.3,4,63.33,1.06
2024-12-09,adanigreen,1216.95,1148.05,9,-662.67,-5.66
2024-12-09,piind,4060.6,4102.3,2,50.75,1.03
2024-12-09,britannia,4793.0,4889.5,2,154.27,2.01
2024-12-09,glaxo,2327.55,2346.8,4,39.61,0.83
2024-12-16,nationalum,219.91,226.88,49,297.74,3.17
2024-12-16,sbilife,1421.65,1398.0,7,-205.03,-1.66
2024-12-16,ntpc,352.9,341.75,30,-376.18,-3.16
2024-12-16,glaxo,2278.6,2332.55,4,178.91,2.37
2024-12-16,escorts,3432.4,3360.85,3,-255.41,-2.08
2024-12-30,lindeindia,5820.95,6079.5,1,234.75,4.44
2024-12-30,hindzinc,432.4,444.05,25,247.43,2.69
2024-12-30,sjvn,103.5,110.85,104,719.82,7.1
2024-12-30,siemens,3776.52,3894.83,2,205.93,3.13
2024-12-30,ucobank,42.39,43.86,256,332.16,3.47
2025-01-06,astral,1556.45,1553.25,7,-65.94,-0.21
2025-01-06,mcx,1162.67,1187.7,9,182.96,2.15
2025-01-06,tataelxsi,6486.45,6473.5,1,-38.87,-0.2
2025-01-06,concor,610.88,605.4,18,-142.43,-0.9
2025-01-06,adanigreen,982.6,988.95,11,26.48,0.65
2025-01-13,godrejprop,2248.9,2306.9,4,195.55,2.58
2025-01-13,concor,582.72,607.32,19,422.18,4.22
2025-01-13,kalyankjil,573.1,555.1,19,-384.87,-3.14
2025-01-13,prestige,1426.65,1439.35,7,48.78,0.89
2025-01-13,apollotyre,443.15,454.75,25,245.11,2.62
2025-01-20,apollotyre,451.3,439.0,25,-352.01,-2.73
2025-01-20,ofss,10017.5,9593.2,1,-463.52,-4.24
2025-01-20,kalyankjil,530.9,485.65,21,-992.95,-8.52
2025-01-20,godrejind,920.05,879.6,12,-528.59,-4.4
2025-01-20,godfryphlp,1482.42,1411.45,7,-537.28,-4.79
2025-01-27,jiofin,233.3,238.3,46,186.61,2.14
2025-01-27,godrejprop,2095.75,2237.55,5,665.67,6.77
