week,pnl,pct,portfolio
2024-08-05,782.05,1.5641,50782.05
2024-08-12,-601.96,-1.2039,50180.09
2024-08-19,1092.46,2.1849,51272.55
2024-08-26,-257.16,-0.5143,51015.39
2024-09-02,1466.81,2.9336,52482.2
2024-09-09,-892.88,-1.7858,51589.32
2024-09-16,-1145.45,-2.2909,50443.87
2024-09-23,-520.74,-1.0415,49923.13
2024-10-07,1424.05,2.8481,51347.19
2024-10-14,248.29,0.4966,51595.48
2024-10-21,111.31,0.2226,51706.79
2024-10-28,1419.33,2.8387,53126.12
2024-11-04,1936.4,3.8728,55062.52
2024-11-11,-1031.5,-2.063,54031.02
2024-11-25,2375.12,4.7502,56406.14
2024-12-02,1603.31,3.2066,58009.45
2024-12-09,-354.72,-0.7094,57654.73
2024-12-16,-359.96,-0.7199,57294.77
2024-12-30,1740.09,3.4802,59034.86
2025-01-06,-37.79,-0.0756,58997.07
2025-01-13,526.74,1.0535,59523.81
2025-01-20,-2874.35,-5.7487,56649.45
2025-01-27,2164.78,4.3296,58814.23
2025-02-03,4384.17,8.7683,63198.4
2025-02-10,-457.6,-0.9152,62740.8
2025-02-17,2398.25,4.7965,65139.05
2025-03-03,2442.03,4.8841,67581.08
2025-03-10,1195.22,2.3904,68776.3
2025-03-17,3876.04,7.7521,72652.34
2025-03-24,-726.61,-1.4532,71925.73
2025-04-07,-105.45,-0.2109,71820.28
2025-04-21,1817.92,3.6358,73638.2
2025-04-28,-347.91,-0.6958,73290.3
2025-05-05,-121.68,-0.2434,73168.61
2025-05-12,631.64,1.2633,73800.26
2025-05-19,-1009.62,-2.0192,72790.63
2025-05-26,-297.14,-0.5943,72493.49
2025-06-02,123.24,0.2465,72616.73
2025-06-09,344.05,0.6881,72960.78
2025-06-16,-350.62,-0.7012,72610.17
2025-06-23,1009.31,2.0186,73619.47
2025-06-30,-285.92,-0.5718,73333.55
2025-07-07,-1298.67,-2.5973,72034.89
2025-07-14,1814.64,3.6293,73849.53
2025-07-21,-354.44,-0.7089,73495.09
2025-07-28,480.9,0.9618,73975.99
2025-08-04,-160.07,-0.3201,73815.92
2025-08-11,575.98,1.152,74391.89
2025-08-18,851.15,1.7023,75243.05
2025-09-01,1382.26,2.7645,76625.3
2025-09-08,796.98,1.594,77422.29
2025-09-15,2293.18,4.5864,79715.47
2025-09-22,-748.98,-1.498,78966.5
2025-09-29,330.04,0.6601,79296.53
2025-10-06,20.37,0.0407,79316.9
2025-10-13,375.53,0.7511,79692.44
2025-10-27,296.34,0.5927,79988.78
2025-11-10,1519.35,3.0387,81508.12
2025-11-17,-1930.75,-3.8615,79577.37
2025-11-24,840.54,1.6811,80417.91
2025-12-01,-708.38,-1.4168,79709.53
2025-12-08,1564.44,3.1289,81273.97
2025-12-15,-1491.35,-2.9827,79782.62
2025-12-22,-702.81,-1.4056,79079.81
2025-12-29,834.83,1.6697,79914.63
2026-01-05,-1958.96,-3.9179,77955.67
2026-01-12,403.16,0.8063,78358.83
2026-01-19,-476.74,-0.9535,77882.09
2026-02-02,574.0,1.148,78456.09
2026-02-09,-1569.36,-3.1387,76886.73
2026-02-16,-342.28,-0.6846,76544.45
2026-02-23,-2821.18,-5.6424,73723.27
2026-03-02,28.74,0.0575,73752.01
2026-03-09,-181.68,-0.3634,73570.33
2026-03-16,2901.74,5.8035,76472.07
2026-03-23,2262.8,4.5256,78734.86
2026-03-30,3090.05,6.1801,81824.91
2026-04-06,4430.06,8.8601,86254.97
2026-04-13,1259.83,2.5197,87514.81
2026-04-20,517.61,1.0352,88032.42
2026-04-27,22.15,0.0443,88054.57
2026-05-04,2656.04,5.3121,90710.61
2026-05-11,903.1,1.8062,91613.71
2026-05-18,264.8,0.5296,91878.51
2026-05-25,-150.05,-0.3001,91728.47
2026-06-01,545.02,1.09,92273.49
2026-06-08,-399.93,-0.7999,91873.56
2026-06-15,1098.03,2.1961,92971.59
2026-06-22,-1535.06,-3.0701,91436.53
2026-06-29,-1440.53,-2.8811,89996.0
2026-07-06,-2324.79,-4.6496,87671.21
2026-07-13,-173.47,-0.3469,87497.74
2026-07-20,-437.72,-0.8754,87060.02
2026-07-27,-111.51,-0.223,86948.51
2026-08-03,170.24,0.3405,87118.75
