week,stock,buy,sell,qty,pnl,pnl_pct,rsi,mom5
2024-08-12,acc,2313.6,2281.95,6,-245.05,-1.37,17.4,-2.81
2024-08-12,sundarmfin,3891.55,3876.35,4,-122.94,-0.39,18.8,-3.56
2024-08-12,grasim,2571.1,2512.4,6,-413.2,-2.28,22.0,-1.58
2024-08-19,apollotyre,483.0,506.25,32,680.69,4.81,15.5,-1.8
2024-08-19,balkrisind,2802.3,2844.85,5,156.28,1.52,21.9,-8.39
2024-08-19,aplapollo,1357.0,1358.7,11,-41.05,0.13,21.7,-4.78
2024-09-02,eternal,244.45,242.85,64,-164.77,-0.65,26.7,-6.93
2024-09-02,federalbnk,194.72,187.87,81,-616.83,-3.52,27.2,-2.02
2024-09-02,irfc,177.54,176.02,89,-198.21,-0.86,29.4,-1.94
2024-09-09,bhel,262.05,258.75,59,-256.15,-1.26,11.0,-8.63
2024-09-09,siemens,3849.69,3869.91,4,19.13,0.53,7.3,-3.26
2024-09-09,federalbnk,184.99,183.18,83,-211.35,-0.98,14.4,-5.0
2024-09-23,patanjali,580.4,578.12,26,-119.61,-0.39,16.3,-5.99
2024-09-23,concor,887.45,889.3,17,-28.96,0.21,19.8,-6.73
2024-09-23,recltd,542.5,545.05,28,10.5,0.47,20.4,-3.25
2024-10-21,nestleind,1177.32,1163.57,13,-239.61,-1.17,7.5,-5.89
2024-10-21,nhpc,82.05,78.18,186,-779.43,-4.72,12.8,-9.89
2024-10-21,titan,3363.25,3288.6,4,-351.81,-2.22,10.5,-3.85
2024-11-04,gail,196.19,208.92,75,893.98,6.49,4.1,-5.15
2024-11-04,indigo,3963.1,4061.95,3,248.4,2.49,9.9,-1.3
2024-11-04,ioc,138.93,144.61,107,547.08,4.09,12.7,-5.5
2024-11-11,auropharma,1289.05,1249.45,11,-491.45,-3.07,12.1,-8.4
2024-11-11,tiindia,3620.2,3447.65,4,-746.74,-4.77,19.3,-16.72
2024-11-11,bhartiartl,1560.55,1550.45,9,-146.9,-0.65,13.5,-1.93
2024-12-16,nationalum,219.91,226.88,68,413.2,3.17,23.6,-12.23
2024-12-16,godrejcp,1112.35,1091.75,13,-325.11,-1.85,21.9,-1.37
2024-12-16,heromotoco,4539.0,4389.45,3,-502.22,-3.29,22.4,-1.24
2024-12-30,sjvn,103.5,110.85,143,989.75,7.1,7.6,-7.21
2024-12-30,ucobank,42.39,43.86,350,454.13,3.47,7.4,-4.05
2024-12-30,gmrairport,77.32,78.59,191,183.01,1.64,7.6,-1.9
2025-01-06,tataelxsi,6486.45,6473.5,2,-77.74,-0.2,8.0,-6.34
2025-01-06,piind,3600.2,3630.45,4,63.15,0.84,8.0,-3.64
2025-01-06,indianb,509.8,507.5,30,-130.04,-0.45,15.9,-3.98
2025-02-03,motherson,87.07,91.19,175,657.44,4.72,28.2,-5.58
2025-02-03,jindalstel,807.7,818.85,18,142.14,1.38,27.5,-3.97
2025-02-03,hcltech,1692.0,1712.85,9,126.36,1.23,26.7,-0.07
2025-02-10,syngene,736.3,709.45,21,-624.57,-3.65,24.4,-0.78
2025-02-10,powergrid,268.7,257.05,58,-736.69,-4.34,29.7,-5.32
2025-02-10,aplapollo,1406.6,1339.95,11,-793.57,-4.74,28.0,-2.48
2025-03-17,idfcfirstb,52.89,55.42,282,652.37,4.78,14.2,-7.76
2025-03-17,tatatech,628.45,671.3,23,925.76,6.82,16.6,-6.42
2025-03-17,techm,1440.1,1396.15,10,-496.22,-3.05,17.7,-3.5
2025-04-28,jswenergy,476.2,479.2,32,34.85,0.63,32.1,-8.66
2025-04-28,voltas,1246.4,1236.1,12,-183.18,-0.83,34.9,-5.43
2025-04-28,muthootfin,2133.4,2169.9,7,195.25,1.71,36.9,-3.19
2025-05-05,syngene,629.2,621.2,24,-252.02,-1.27,36.3,-0.14
2025-05-05,acc,1882.3,1844.9,8,-358.84,-1.99,36.0,-2.87
2025-05-05,torntpower,1477.9,1501.9,10,180.4,1.62,41.7,-3.95
2025-05-12,acc,1858.8,1861.0,8,-41.92,0.12,20.8,-1.25
2025-05-12,patanjali,606.3,594.43,24,-342.43,-1.96,24.0,-2.9
2025-05-12,m_mfin,249.91,259.65,60,523.08,3.9,28.3,-2.89
2025-05-26,balkrisind,2492.0,2478.0,6,-143.64,-0.56,26.4,-7.38
2025-05-26,sunpharma,1676.1,1666.4,9,-147.46,-0.58,26.1,-3.13
