week,pnl,pct,portfolio,n,breadth,skip
2024-08-05,0.0,0.0,50000.0,0,0.13,crash
2024-08-12,-781.19,-1.5624,49218.81,3,0.65,
2024-08-19,795.92,1.5918,50014.73,3,0.56,
2024-08-26,0.0,0.0,50014.73,0,0.76,overbought
2024-09-02,-979.82,-1.9596,49034.91,3,0.56,
2024-09-09,-448.37,-0.8967,48586.54,3,0.35,
2024-09-16,0.0,0.0,48586.54,0,0.74,overbought
2024-09-23,-138.07,-0.2761,48448.47,3,0.57,
2024-10-07,0.0,0.0,48448.47,0,0.07,crash
2024-10-14,0.0,0.0,48448.47,0,0.78,overbought
2024-10-21,-1370.85,-2.7417,47077.61,3,0.23,
2024-10-28,0.0,0.0,47077.61,0,0.18,crash
2024-11-04,1689.47,3.3789,48767.08,3,0.49,
2024-11-11,-1385.09,-2.7702,47381.99,3,0.44,
2024-11-25,0.0,0.0,47381.99,0,0.74,overbought
2024-12-02,0.0,0.0,47381.99,0,0.72,overbought
2024-12-09,0.0,0.0,47381.99,0,0.73,overbought
2024-12-16,-414.13,-0.8283,46967.86,3,0.52,
2024-12-30,1626.88,3.2538,48594.74,3,0.52,
2025-01-06,-144.62,-0.2892,48450.12,3,0.42,
2025-01-13,0.0,0.0,48450.12,0,0.1,crash
2025-01-20,0.0,0.0,48450.12,0,0.82,overbought
2025-01-27,0.0,0.0,48450.12,0,0.1,crash
2025-02-03,925.95,1.8519,49376.07,3,0.69,
2025-02-10,-2154.83,-4.3097,47221.23,3,0.49,
2025-02-17,0.0,0.0,47221.23,0,0.1,crash
2025-03-03,0.0,0.0,47221.23,0,0.1,crash
2025-03-10,0.0,0.0,47221.23,0,0.72,overbought
2025-03-17,1081.91,2.1638,48303.14,3,0.32,
2025-03-24,0.0,0.0,48303.14,0,0.96,overbought
2025-04-07,0.0,0.0,48303.14,0,0.11,crash
2025-04-21,0.0,0.0,48303.14,0,0.99,overbought
2025-04-28,46.93,0.0939,48350.07,3,0.51,
2025-05-05,-430.45,-0.8609,47919.62,3,0.68,
2025-05-12,138.73,0.2775,48058.35,3,0.58,
2025-05-19,0.0,0.0,48058.35,0,0.79,overbought
2025-05-26,-314.64,-0.6293,47743.71,3,0.46,
2025-06-02,166.14,0.3323,47909.85,3,0.46,
2025-06-09,0.0,0.0,47909.85,0,0.8,overbought
2025-06-16,-364.45,-0.7289,47545.4,3,0.25,
2025-06-23,599.38,1.1988,48144.78,3,0.33,
2025-06-30,0.0,0.0,48144.78,0,0.84,overbought
2025-07-07,-861.31,-1.7226,47283.47,3,0.44,
2025-07-14,292.29,0.5846,47575.76,3,0.37,
2025-07-21,-187.09,-0.3742,47388.68,3,0.59,
2025-07-28,0.0,0.0,47388.68,0,0.16,crash
2025-08-04,-563.14,-1.1263,46825.54,3,0.46,
2025-08-11,-229.4,-0.4588,46596.14,3,0.32,
2025-08-18,0.0,0.0,46596.14,0,0.79,overbought
2025-09-01,476.96,0.9539,47073.1,3,0.32,
2025-09-08,926.93,1.8539,48000.03,3,0.57,
2025-09-15,0.0,0.0,48000.03,0,0.74,overbought
2025-09-22,-614.85,-1.2297,47385.18,3,0.57,
2025-09-29,0.0,0.0,47385.18,0,0.16,crash
2025-10-06,0.0,0.0,47385.18,0,0.78,overbought
2025-10-13,185.82,0.3716,47571.0,3,0.54,
2025-10-27,390.37,0.7807,47961.37,2,0.61,
2025-11-10,640.19,1.2804,48601.57,3,0.42,
2025-11-17,0.0,0.0,48601.57,0,0.7,overbought
2025-11-24,441.47,0.8829,49043.03,3,0.22,
2025-12-01,-101.66,-0.2033,48941.37,3,0.64,
2025-12-08,0.0,0.0,48941.37,0,0.17,crash
2025-12-15,0.0,0.0,48941.37,0,0.7,overbought
2025-12-22,-570.39,-1.1408,48370.98,3,0.59,
2025-12-29,1091.4,2.1828,49462.38,3,0.49,
2026-01-05,0.0,0.0,49462.38,0,0.72,overbought
2026-01-12,0.0,0.0,49462.38,0,0.2,crash
2026-01-19,-772.94,-1.5459,48689.44,3,0.38,
2026-02-02,658.14,1.3163,49347.57,3,0.55,
2026-02-09,0.0,0.0,49347.57,0,0.87,overbought
2026-02-16,-356.9,-0.7138,48990.68,3,0.37,
2026-02-23,-540.28,-1.0806,48450.4,3,0.57,
2026-03-02,-835.99,-1.672,47614.41,3,0.26,
2026-03-09,0.0,0.0,47614.41,0,0.09,crash
2026-03-16,1053.05,2.1061,48667.46,3,0.2,
2026-03-23,0.0,0.0,48667.46,0,0.14,crash
2026-03-30,0.0,0.0,48667.46,0,0.11,crash
2026-04-06,240.06,0.4801,48907.52,3,0.34,
2026-04-13,0.0,0.0,48907.52,0,0.92,overbought
2026-04-20,0.0,0.0,48907.52,0,0.85,overbought
2026-04-27,-584.31,-1.1686,48323.22,3,0.58,
2026-05-04,1020.64,2.0413,49343.85,3,0.4,
2026-05-11,-603.14,-1.2063,48740.72,3,0.5,
2026-05-18,69.83,0.1397,48810.55,3,0.26,
2026-05-25,0.0,0.0,48810.55,0,0.75,overbought
2026-06-01,182.2,0.3644,48992.75,3,0.23,
2026-06-08,-99.68,-0.1994,48893.07,3,0.29,
2026-06-15,0.0,0.0,48893.07,0,0.77,overbought
2026-06-22,0.0,0.0,48893.07,0,0.75,overbought
2026-06-29,228.95,0.4579,49122.02,3,0.29,
2026-07-06,-465.19,-0.9304,48656.83,3,0.65,
2026-07-13,150.48,0.301,48807.31,3,0.42,
2026-07-20,-176.2,-0.3524,48631.12,3,0.48,
2026-07-27,509.86,1.0197,49140.98,3,0.41,
2026-08-03,0.0,0.0,49140.98,0,0.77,overbought
