week,stock,buy,sell,qty,pnl,pnl_pct,rsi,mom5_pct,vol10,weight
2024-08-05,jiofin,317.05,329.75,63,718.6,4.01,13.2,-3.98,1.08,0.422
2024-08-05,acc,2380.6,2396.1,5,29.73,0.65,17.1,-8.59,1.55,0.301
2024-08-05,axisbank,1133.5,1136.8,11,-13.65,0.29,6.5,-3.12,1.69,0.278
2024-08-12,icicibank,1172.8,1161.65,14,-221.46,-0.95,27.9,0.02,0.81,0.345
2024-08-12,nestleind,1236.55,1237.3,13,-54.57,0.06,30.4,-1.51,0.83,0.337
2024-08-12,aubank,609.75,603.05,25,-228.14,-1.1,27.0,-3.52,0.89,0.318
2024-08-19,aubank,615.25,625.2,29,216.6,1.62,26.5,-1.71,1.21,0.378
2024-08-19,apollotyre,483.0,506.25,30,638.15,4.81,15.5,-1.8,1.48,0.313
2024-08-19,bankindia,117.32,119.44,125,205.81,1.81,25.8,-1.37,1.5,0.309
2024-08-26,indianb,547.1,567.95,30,558.6,3.81,33.8,-0.53,1.3,0.345
2024-08-26,jiofin,323.25,322.25,50,-114.55,-0.31,54.7,-2.47,1.33,0.337
2024-08-26,bankindia,117.57,117.93,131,-14.54,0.31,36.9,0.21,1.42,0.318
2024-09-02,gmrairport,93.38,93.42,180,-60.05,0.04,34.0,-2.67,0.64,0.344
2024-09-02,federalbnk,194.72,187.87,83,-632.06,-3.52,27.2,-2.02,0.67,0.331
2024-09-02,irfc,177.54,176.02,89,-198.21,-0.86,29.4,-1.94,0.69,0.325
2024-09-09,siemens,3849.69,3869.91,4,19.13,0.53,7.3,-3.26,0.6,0.367
2024-09-09,yesbank,22.89,23.82,720,602.34,4.06,16.2,-4.11,0.65,0.342
2024-09-09,irfc,168.33,165.88,83,-258.83,-1.46,21.9,-5.19,0.78,0.291
2024-09-16,drreddy,1329.42,1313.56,16,-338.34,-1.19,28.4,-0.13,0.63,0.443
2024-09-16,atgl,806.75,793.45,18,-297.01,-1.65,27.9,-0.98,0.94,0.313
2024-09-16,irfc,163.96,158.56,72,-435.24,-3.29,15.6,-2.6,1.23,0.244
2024-09-23,srf,2439.95,2451.75,6,12.1,0.48,30.8,0.13,1.08,0.344
2024-09-23,bankindia,112.39,110.54,145,-332.9,-1.65,29.1,-0.55,1.08,0.343
2024-09-23,concor,887.45,889.3,16,-27.26,0.21,19.8,-6.73,1.19,0.313
2024-10-07,medanta,966.9,1001.5,17,521.27,3.58,7.3,-6.34,0.96,0.355
2024-10-07,godrejcp,1332.35,1333.4,12,-51.38,0.08,17.1,-4.05,1.01,0.339
2024-10-07,bharatforg,1433.95,1510.3,10,704.62,5.32,13.0,-5.82,1.14,0.305
2024-10-14,hindunilvr,2789.1,2781.25,6,-113.94,-0.28,18.7,-1.56,0.84,0.374
2024-10-14,icicigi,2089.35,2075.6,7,-154.56,-0.66,20.4,-0.55,1.0,0.317
2024-10-14,bankindia,104.71,104.83,142,-42.47,0.11,11.3,-0.77,1.03,0.31
2024-10-21,unionbank,111.66,109.35,171,-470.6,-2.07,11.0,-2.1,0.56,0.399
2024-10-21,astral,1850.05,1793.15,8,-513.49,-3.08,15.4,-2.9,0.74,0.315
2024-10-21,hindunilvr,2693.55,2659.3,5,-224.78,-1.27,10.3,-3.43,0.82,0.286
2024-10-28,petronet,331.45,330.95,54,-98.54,-0.15,15.4,-4.45,0.75,0.388
2024-10-28,icicigi,1896.0,1927.9,8,194.02,1.68,13.9,-6.34,0.89,0.335
2024-10-28,ongc,263.35,261.65,49,-134.75,-0.65,16.6,-4.79,1.09,0.277
2024-11-04,bhartiartl,1591.25,1598.8,11,12.87,0.47,15.1,-4.33,0.65,0.39
2024-11-04,kotakbank,345.87,352.52,42,220.63,1.92,16.8,-1.17,0.84,0.313
2024-11-04,balkrisind,2791.1,2869.65,4,268.91,2.81,17.6,-4.67,0.89,0.298
2024-11-11,bhartiartl,1560.55,1550.45,11,-179.54,-0.65,13.5,-1.93,0.92,0.364
2024-11-11,colpal,2872.65,2762.9,5,-605.11,-3.82,5.3,-3.75,0.99,0.341
2024-11-11,havells,1641.75,1614.1,8,-273.29,-1.68,24.0,0.83,1.16,0.295
