week,pnl,pct,portfolio,n,month
2024-08-05,734.69,1.4694,50734.69,3,2024-08
2024-08-12,-504.18,-1.0084,50230.52,3,2024-08
2024-08-19,1060.56,2.1211,51291.08,3,2024-08
2024-08-26,429.51,0.859,51720.58,3,2024-08
2024-09-02,-890.32,-1.7806,50830.26,3,2024-09
2024-09-09,362.64,0.7253,51192.9,3,2024-09
2024-09-16,-1070.59,-2.1412,50122.32,3,2024-09
2024-09-23,-348.06,-0.6961,49774.26,3,2024-09
2024-10-07,1174.51,2.349,50948.77,3,2024-10
2024-10-14,-310.97,-0.6219,50637.8,3,2024-10
2024-10-21,-1208.87,-2.4177,49428.93,3,2024-10
2024-10-28,-39.27,-0.0785,49389.66,3,2024-10
2024-11-04,502.42,1.0048,49892.08,3,2024-11
2024-11-11,-1057.94,-2.1159,48834.14,3,2024-11
2024-11-25,-312.81,-0.6256,48521.33,3,2024-11
2024-12-02,102.83,0.2057,48624.16,3,2024-12
2024-12-09,130.08,0.2602,48754.24,3,2024-12
2024-12-16,-1132.51,-2.265,47621.73,3,2024-12
2024-12-30,-275.99,-0.552,47345.74,3,2024-12
2025-01-06,-490.2,-0.9804,46855.54,3,2025-01
2025-01-13,529.03,1.0581,47384.57,3,2025-01
2025-01-20,-642.23,-1.2845,46742.34,3,2025-01
2025-01-27,-136.88,-0.2738,46605.46,3,2025-01
2025-02-03,2252.09,4.5042,48857.55,3,2025-02
2025-02-10,-1743.82,-3.4876,47113.74,3,2025-02
2025-02-17,-77.75,-0.1555,47035.99,3,2025-02
2025-03-03,591.65,1.1833,47627.63,3,2025-03
2025-03-10,-574.43,-1.1489,47053.2,3,2025-03
2025-03-17,731.56,1.4631,47784.77,3,2025-03
2025-03-24,-415.99,-0.832,47368.78,3,2025-03
2025-04-07,-725.79,-1.4516,46642.99,3,2025-04
2025-04-21,934.99,1.87,47577.98,3,2025-04
2025-04-28,-777.53,-1.5551,46800.46,3,2025-04
2025-05-05,-465.67,-0.9313,46334.79,3,2025-05
2025-05-12,-430.14,-0.8603,45904.65,3,2025-05
2025-05-19,-679.44,-1.3589,45225.21,3,2025-05
2025-05-26,-57.6,-0.1152,45167.61,3,2025-05
2025-06-02,-200.97,-0.4019,44966.64,3,2025-06
2025-06-09,-561.91,-1.1238,44404.73,3,2025-06
2025-06-16,-6.4,-0.0128,44398.32,3,2025-06
2025-06-23,298.09,0.5962,44696.42,3,2025-06
2025-06-30,357.01,0.714,45053.43,3,2025-06
2025-07-07,-499.04,-0.9981,44554.39,3,2025-07
2025-07-14,1128.23,2.2565,45682.62,3,2025-07
2025-07-21,-394.6,-0.7892,45288.02,3,2025-07
2025-07-28,-94.48,-0.189,45193.54,3,2025-07
2025-08-04,-712.28,-1.4246,44481.26,3,2025-08
2025-08-11,294.26,0.5885,44775.52,3,2025-08
2025-08-18,253.81,0.5076,45029.33,3,2025-08
2025-09-01,620.97,1.2419,45650.3,3,2025-09
2025-09-08,570.07,1.1401,46220.37,3,2025-09
2025-09-15,721.62,1.4432,46941.99,3,2025-09
2025-09-22,-448.18,-0.8964,46493.81,3,2025-09
2025-09-29,546.74,1.0935,47040.55,3,2025-09
2025-10-06,235.59,0.4712,47276.14,3,2025-10
2025-10-13,10.1,0.0202,47286.24,3,2025-10
2025-10-27,678.44,1.3569,47964.67,3,2025-10
2025-11-10,-293.13,-0.5863,47671.55,2,2025-11
2025-11-17,-241.38,-0.4828,47430.17,3,2025-11
2025-11-24,581.29,1.1626,48011.46,3,2025-11
2025-12-01,-851.18,-1.7024,47160.28,3,2025-12
2025-12-08,589.32,1.1786,47749.59,3,2025-12
2025-12-15,-504.5,-1.009,47245.1,3,2025-12
2025-12-22,-547.61,-1.0952,46697.49,3,2025-12
2025-12-29,-163.47,-0.3269,46534.02,3,2025-12
2026-01-05,31.45,0.0629,46565.47,3,2026-01
2026-01-12,-644.69,-1.2894,45920.78,3,2026-01
2026-01-19,-750.65,-1.5013,45170.13,3,2026-01
2026-02-02,1006.52,2.013,46176.65,3,2026-02
2026-02-09,490.15,0.9803,46666.8,3,2026-02
2026-02-16,573.86,1.1477,47240.66,3,2026-02
2026-02-23,-642.33,-1.2847,46598.33,3,2026-02
2026-03-02,-824.58,-1.6492,45773.75,3,2026-03
2026-03-09,630.64,1.2613,46404.39,3,2026-03
2026-03-16,2205.58,4.4112,48609.97,3,2026-03
2026-03-23,1420.08,2.8402,50030.05,3,2026-03
2026-03-30,331.11,0.6622,50361.16,3,2026-03
2026-04-06,311.11,0.6222,50672.26,3,2026-04
2026-04-13,1128.65,2.2573,51800.91,3,2026-04
2026-04-20,-222.54,-0.4451,51578.38,3,2026-04
2026-04-27,385.91,0.7718,51964.29,3,2026-04
2026-05-04,517.36,1.0347,52481.65,3,2026-05
2026-05-11,-2004.78,-4.0096,50476.87,3,2026-05
2026-05-18,-40.48,-0.081,50436.39,3,2026-05
2026-05-25,75.97,0.1519,50512.36,3,2026-05
2026-06-01,-166.0,-0.332,50346.36,3,2026-06
2026-06-08,256.18,0.5124,50602.54,3,2026-06
2026-06-15,-85.61,-0.1712,50516.92,3,2026-06
2026-06-22,-1541.09,-3.0822,48975.83,3,2026-06
2026-06-29,-1850.0,-3.7,47125.83,3,2026-06
2026-07-06,-1200.66,-2.4013,45925.17,3,2026-07
2026-07-13,53.77,0.1075,45978.94,3,2026-07
2026-07-20,-670.77,-1.3415,45308.17,3,2026-07
2026-07-27,430.36,0.8607,45738.53,3,2026-07
2026-08-03,-952.03,-1.9041,44786.5,3,2026-08
